country;RAI;HDI;PopDens;GdpPerCapita
Albania;2;791;258;12.3
Argentina;23.5;830;42;17.611
Australia;25.4;938;9;44.097
Austria;23;914;275;46.231
Bahamas;0;805;72;28.395
Barbados;0;813;1.729;15.912
Belgium;33.1;919;973;43.821
Belize;0;720;45;7.136
Bosnia and Herzegovina;27.1;769;178;12.69
Brazil;19.5;761;64;14.068
Bulgaria;2;816;163;19.646
Canada;26;922;10;43.602
Chile;3;847;60;21.972
Colombia;12.3;761;105;12.896
Costa Rica;0;794;256;14.79
Croatia;9;837;187;23.061
Cuba;5;778;264;7.811
Cyprus;0;873;385;33.1
Denmark;7.3;930;349;48.836
Dominican Republic;3.7;745;560;15.074
Ecuador;8;758;164;10.141
El Salvador;1;667;825;6.973
Estonia;0;882;76;30.379
Finland;7.1;925;42;41.779
France;20;891;319;40.511
Germany;37;939;603;46.946
Greece;11;872;210;24.909
Guatemala;1;651;421;7.378
Guyana;0;670;9.4 ;7.615
Haiti;5.5;503;1.078;1.665
Honduras;1;623;211;4.258
Hungary;10.9;845;272;27.144
Iceland;0;938;9.2 ;47.566
Indonesia;20.8;707;365;11.256
Ireland;3;942;181;55.66
Israel;2;906;1.08;33.65
Italy;27.3;883;518;36.141
Jamaica;0;726;643;7.932
Japan;13;915;863;40.799
Latvia;3;854;77;26.301
Lithuania;3;869;111;29.775
Malaysia;21.5;804;257;27.227
Malta;0;885;4.058;34.795
Mexico;20;767;167;17.628
Montenegro;0;816;117;17.511
Netherlands;17.5;933;1.09;50.013
New Zealand;11;921;48;35.108
Nicaragua;4.5;651;136;4.79
Norway;12;954;43;68.059
Panama;5.4;795;145;20.455
Paraguay;8.2;724;44;11.72
Peru;18.1;759;65;12.323
Philippines;11.5;712;938;9.54
Poland;8;872;318;27.626
Portugal;3.8;850;289;27.935
Romania;10;816;211;23.906
Serbia;6.4;799;231;15.218
Singapore;0;935;20.446;83.793
Slovakia;8;857;288;30.672
Slovenia;1;902;266;32.143
Spain;33.6;893;240;35.041
Suriname;0;724;9.0 ;11.933
Sweden;12;937;59;47.955
Switzerland;26.5;946;539;59.375
Thailand;10.3;765;336;16.129
Trinidad and Tobago;0.5;799;685;28.497
Turkey;8;806;275;24.905
United Kingdom;11.2;920;725;39.507
United States;29.6;920;87;56.14
